#COVID19,1.0
#coronavirus,0.6551724137931034
#Coronavirus,0.4482758620689655
#TrumpKnew,0.4482758620689655
#TrumpLiedPeopleDied,0.41379310344827586
#Covid19,0.41379310344827586
#CoronavirusPandemic,0.3793103448275862
#TrumpIsNotWell,0.3793103448275862
#ResignTrump,0.3793103448275862
#TrumpTapes,0.3793103448275862
#ResignNowTrump,0.3793103448275862
#Resign,0.3793103448275862
#COVID,0.3448275862068966
#Corona,0.3448275862068966
#followme,0.3448275862068966
#COVID19India,0.3448275862068966
#GOPKnew,0.3448275862068966
#unfollowTRUMP,0.3448275862068966
#India,0.3103448275862069
#Covid_19,0.27586206896551724
#StaySafe,0.27586206896551724
#France,0.24137931034482757
#IndiaFightsCorona,0.24137931034482757
#Woodward,0.24137931034482757
#CoronaVirus,0.1724137931034483
#\u0e42\u0e04\u0e27\u0e34\u0e1419,0.1724137931034483
#\u0e42\u0e04\u0e27\u0e34\u0e14_19,0.10344827586206896
#\u0e04\u0e21\u0e0a\u0e31\u0e14\u0e25\u0e36\u0e01,0.10344827586206896
#KohLanta,0.10344827586206896
#JustIn,0.034482758620689655
