#japan,3
#sars,2
#a3,2
#a4,2
#china,2
#a1,2
#itanagar,2
#a2,2
#ghosal,1
#india,1
#couvd,1
#couvid,1
#bengal,1
#manipur,1
#assam,1
#pakistan,1
#shreya,1
