#JagameThandhiram,1.0
#1YearOfBBAsuran,1.0
#Asuran,0.9166666666666666
#1yearOfBBAsuran,0.9166666666666666
#Dhanush,0.6666666666666666
#Karnan,0.6666666666666666
#\u0b85\u0b9a\u0bc1\u0bb0\u0ba9\u0bcd,0.5833333333333333
#TNDFC,0.5833333333333333
#PollachiDFC,0.41666666666666663
#1YearOfAsuran,0.41666666666666663
#Master,0.3333333333333333
#MrDhanush,0.3333333333333333
#karnan,0.3333333333333333
