#PCAs,1.0
#TheGroup,0.46
#TheMusicVideo,0.44
#TheAlbum,0.44
#TheSoundtrackSong,0.4
#TaylorSwift,0.36
#BLACKPINK,0.36
#IceCream,0.34
#TheFemaleArtist,0.34
#SelenaGomez,0.3
#BTS,0.3
#Dynamite,0.28
#THEALBUM,0.28
#TheSocialCelebrity,0.26
#TheAlbumCategory,0.26
#Rare,0.26
#Blackpink,0.24
#taylorswift,0.24
#TheSong,0.24
#MapOfTheSoul7,0.22
#folklore,0.22
#LiliesTheStandard,0.22
#OnlyTheYoung,0.2
#LISA,0.2
#SoundTrackSong,0.14
#mapofthesoul7,0.14
#ArianaGrande,0.14
#TheMaleArtist,0.1
#InfluencerBrasil,0.1
#TheCollaborationSong,0.1
#JustinBieber,0.08
#CNCO,0.08
#5SOS,0.08
#TheLatinArtist,0.08
#SocialStarFrance,0.08
#BlakeShelton,0.06
#WynonnaEarp,0.06
#ManuGavassi,0.06
#TheCountryArtist,0.06
#Holy,0.06
#TheScifiFantasyShow,0.04
#yanissaXoxo,0.04
#TheWeeknd,0.04
#BiancaAndrade,0.04
#BeKind,0.04
#TheSciFiFantasyShow,0.04
#LenaSituations,0.04
#AboutLove,0.04
#yanissaxoxo,0.04
#RafaKalimann,0.04
#BritneySpears,0.04
