#TheScifiFantasyShow,#BLACKPINK,0
#WynonnaEarp,#BLACKPINK,1
#ManuGavassi,#BLACKPINK,1
#yanissaXoxo,#BLACKPINK,1
#TheWeeknd,#BLACKPINK,1
