@DNC,@soloyochapin,50
@DNC,#COVID19,31
@DNC,@JoeBiden,71
@DNC,@realDonaldTrump,77
@DNC,@FLOTUS,15
@DNC,@GOP,32
@DNC,@CNN,5
@DNC,@POTUS,10
#MAGA,#SaturdayThoughts,211
#MAGA,#COVID19,45
#MAGA,#TrumpHasCorona,3
#MAGA,#GOP,8
#MAGA,#coronavirus,195
#MAGA,#Trump,257
@AprilDRyan,@realDonaldTrump,347
@AprilDRyan,#COVID19,286
@AprilDRyan,@ERGOaccess,1
@AprilDRyan,@CNN,358
#WearAMask,#TrumpHasCovid,11
#WearAMask,#pandemic,4
#WearAMask,#COVID19,29
#WearAMask,#GOPSuperSpreaders,5
#WearAMask,#SuperSpreader,8
#WearAMask,#COVIDIOTS,7
#WearAMask,#CovidCaughtTrump,8
#WearAMask,#GOP,4
#WearAMask,#coronavirus,6
#WearAMask,#TrumpCovid,5
#COVID,#TrumpHasCovid,16
#COVID,#SaturdayThoughts,7
#COVID,#COVIDIOTS,4
#COVID,#SARSCoV2,2
#COVID,#COVID19,46
#COVID,#GOPSuperSpreaders,8
#COVID,#CovidCaughtTrump,7
#COVID,#GOP,5
#COVID,#TrumpCovid,12
#COVID,#coronavirus,12
#COVID,#Trump,22
@VP,#COVID19,58
@VP,@SeemaCMS,44
@VP,@JoeBiden,17
@VP,@realDonaldTrump,195
@VP,@FLOTUS,39
@VP,@WhiteHouse,73
@VP,@CDCgov,7
@VP,@GOP,38
@VP,@POTUS,97
#CovidCaughtTrump,#TrumpHasCovid,34
#CovidCaughtTrump,#COVIDIOTS,23
#CovidCaughtTrump,#COVID19,28
#CovidCaughtTrump,#GOPSuperSpreaders,30
#CovidCaughtTrump,#SuperSpreader,11
#CovidCaughtTrump,#TrumpHasCorona,5
#CovidCaughtTrump,#Trump,8
#CovidCaughtTrump,#coronavirus,7
#CovidCaughtTrump,#TrumpCovid,19
@Laurie_Garrett,#COVID19,68
@Laurie_Garrett,@WhiteHouse,1
@Laurie_Garrett,@CDCgov,68
@Laurie_Garrett,@POTUS,1
@Rosie_wearamask,#COVID19,22
@Rosie_wearamask,@POTUS,13
#Corona,#COVID19,27
#Corona,#SARSCoV2,2
#Corona,#coronavirus,15
#Corona,#Trump,32
@GOP,@soloyochapin,11
@GOP,#COVID19,41
@GOP,@JoeBiden,52
@GOP,@realDonaldTrump,504
@GOP,@WhiteHouse,47
@GOP,@POTUS,57
#GOP,#TrumpHasCovid,10
#GOP,#COVIDIOTS,4
#GOP,#COVID19,24
#GOP,#GOPSuperSpreaders,24
#GOP,#TrumpCovid,6
#GOP,#BREAKING,10
#GOP,#coronavirus,8
#GOP,#Trump,31
@WhiteHouse,@CNN,16
@WhiteHouse,@JohnBasham,7
@WhiteHouse,@FLOTUS,113
@WhiteHouse,@SeemaCMS,44
@WhiteHouse,@JoeBiden,19
@WhiteHouse,@realDonaldTrump,300
@WhiteHouse,@CDCgov,5
@WhiteHouse,@POTUS,87
@WhiteHouse,#COVID19,58
#coronavirus,#TrumpHasCovid,16
#coronavirus,#SaturdayThoughts,204
#coronavirus,#pandemic,8
#coronavirus,#SARSCoV2,4
#coronavirus,#COVID19,116
#coronavirus,#DonaldTrump,12
#coronavirus,#COVIDIOTS,5
#coronavirus,#TrumpCovid,15
