#coronavirus,0.10175191526368085
#Trump,0.07518161454349309
#SaturdayThoughts,0.05316022349326299
#COVID19,0.05295869923346814
#Trump2020,0.0495761980997378
#FoxAndFriends,0.04600730433975085
#MAGA,0.04254347868566114
#TrumpHasCovid,0.04011501983092072
#CNNSOTU,0.039282174640517115
#KAG,0.03907264424310558
#Ccot,0.03907264424310558
#Texas,0.03781995611259288
#Hannity,0.03568468302833198
#COVID,0.03360107172561826
#TrumpCovid,0.03342702098638748
#Tucker,0.032332227558292
#\u0634\u062e\u0628\u0627\u0631_\u0627\u0644\u0636\u063a\u0637,0.030573568849770756
#Everton,0.030573568849770756
#Leeds,0.030573568849770756
#DonaldJTrump,0.030573568849770756
#WeLoveYouTaehyung,0.030573568849770756
#DonaldTrump,0.027695462351941647
#Brazil,0.01767838218435427
#covid19,0.01760101452513389
#death,0.01651563662529995
#Corona,0.016054784036489907
