#TheMusicVideo,1.0
#Seattle,0.6666666666666666
#COVID19,0.5833333333333333
#LovesickGirls,0.5
#inktober2020,0.5
#coronavirus,0.5
#SAVAGEXFENTYSHOW,0.41666666666666663
#PCAs,0.41666666666666663
#TrumpCovid,0.41666666666666663
#THEALBUM,0.3333333333333333
#IceCream,0.25
#SelenaGomez,0.25
#Dynamite,0.16666666666666666
