#COVID19,1.0
#RememberInNovember,0.48
#SundayThoughts,0.48
#HarrisAdministration,0.48
#FoxAndFriends,0.48
#CNNSOTU,0.48
#MAGA,0.44
#FillTheSeat,0.44
#Walkaway,0.44
#KAG2020,0.44
#Ccot,0.44
#coronavirus,0.4
#Trump,0.4
#FillTheVacancy,0.36
#COVID,0.32
#TrumpKnew,0.32
#Corona,0.24
#Coronavirus,0.24
#COVID__19,0.24
#mentalhealth,0.16
#EdoDecides2020,0.12
#TrumpLiedPeopleDied,0.12
#China,0.12
#LayGlobal,0.08
#explosion,0.04
#NEET,0.04
