#COVID19,1.0
#Trump,0.6
#coronavirus,0.46
#TrumpHasCovid,0.44
#GOP,0.4
#COVIDIOTS,0.4
#SuperSpreader,0.4
#COVID,0.38
#TrumpCovid,0.38
#GOPSuperSpreaders,0.36
#TrumpVirus,0.32
#CovidCaughtTrump,0.3
#MAGA,0.3
#VoteHimOut,0.3
#RoseGardenMassacre,0.28
#SaturdayThoughts,0.28
#BidenHarris2020,0.28
#Covid_19,0.24
#Coronavirus,0.24
#Biden,0.22
#TrumpHasCorona,0.2
#DonaldTrump,0.16
#CCPVirus,0.16
#SCOTUS,0.16
#Corona,0.16
#Whistleblowermovement,0.16
#SARSCoV2,0.16
#USA,0.16
#NBAFinals,0.14
#pandemic,0.14
#BREAKING,0.14
#MilesGuo,0.14
#Constitution,0.14
#CCPLiedPeopleDied,0.14
#TakeDownTheCCP,0.12
#SundayThoughts,0.12
#NewFederalStateofChina,0.12
#SpreaderInChief,0.12
#BlackLivesMatter,0.12
#Nbaplayoffs,0.1
#TheView,0.1
#Turkey,0.1
#TrumpsAmerica,0.1
#ESPN,0.1
#NBA2K21,0.1
#Reckless,0.08
#pandemia,0.04
#turismo,0.04
#Piemonte,0.02
#Cleveland,0.02
#OMS,0.02
