#ReahChakraborty,#SSRTrueStory,0.02
#SSRTrueStory,#freedom,0.02
#AbhishekBachchan,#SSRTrueStory,0.02
#SSRTrueStory,#truth,0.02
#SSRTrueStory,#justice,0.02
#PalgharSadhuLynching,#SSRTrueStory,0.02
#BoycottBollywood,#SSRTrueStory,0.011904761904762
#ArnabGoswami,#SSRTrueStory,0.010869565217391
#FocusOnMurderAngle,#SSRTrueStory,0.0096153846153846
#Arnab,#SSRTrueStory,0.0094339622641509
#RehaChakraborty,#SSRTrueStory,0.0094339622641509
#SSRTrueStory,#SSRWarriors,0.0078740157480315
#BollywoodMafia,#SSRTrueStory,0.0071428571428571
#SSRTrueStory,#ShivSena,0.0070422535211268
#SSRTrueStory,#justiceforkangana,0.0070422535211268
#DrugsMafia,#SSRTrueStory,0.0070422535211268
#SSRTrueStory,#UnitedForSSRJustice,0.0068493150684932
#FreeRepublicReporter,#SSRTrueStory,0.0065359477124183
#Flag4SSR,#SSRTrueStory,0.00625
#RheaChakraborty,#SSRTrueStory,0.0061349693251534
#Justice4SSR,#SSRTrueStory,0.0056818181818182
#SSRDeathCase,#SSRTrueStory,0.0055555555555556
#SSRTrueStory,#WarriorsRoar4SSR,0.0054945054945055
#CBI,#SSRTrueStory,0.0054347826086957
#DishaSalian,#SSRTrueStory,0.0054347826086957
#Kangana,#SSRTrueStory,0.0054347826086957
#BollywoodDrugGang,#SSRTrueStory,0.0054347826086957
#SSRTrueStory,#ShameOnMahaGovt,0.0053191489361702
#DishaSaliyan,#SSRTrueStory,0.005
#RheaChakroborty,#SSRTrueStory,0.0049751243781095
#SSRTrueStory,#SSRians,0.004950495049505
#SushantSinghRajput,#SSRTrueStory,0.004950495049505
#KanganaRanuat,#SSRTrueStory,0.0047846889952153
#SSRTrueStory,#WorldUnitedForSSRJustice,0.004739336492891
#NCB,#SSRTrueStory,0.0045871559633028
#Bollywood,#SSRTrueStory,0.0045871559633028
#Rhea,#SSRTrueStory,0.0044642857142857
#JusticeForSushantSinghRajput,#SSRTrueStory,0.0042735042735043
#CBIFamilyAwaitsJusticeForSSR,#SSRTrueStory,0.0042735042735043
#JusticeForRhea,#SSRTrueStory,0.0042735042735043
#KanganaRanaut,#SSRTrueStory,0.0042553191489362
#RheaArrested,#SSRTrueStory,0.0041322314049587
#SSRTrueStory,#SSR,0.0038167938931298
#JusticeForSSR,#SSRTrueStory,0.0034843205574913
#DeathOfDemocracy,#SSRTrueStory,0.0034602076124567
