#LunchWithBTS,#VMA,0.60488291231014
#BTS_Universe_Story,#VMA,0.60488291231014
#VMA,"#\uc11c\ud638",0.60488291231014
#MeganTheeStallion,#VMA,0.60488291231014
#VMA,#btsarmy,0.60488291231014
#Taehyung,#VMA,0.60488291231014
#KCAMexico,#VMA,0.60488291231014
#SmallzysSurgery,#VMA,0.60488291231014
#TheWeeknd,#VMA,0.60488291231014
#BTSARMY,#VMA,0.60488291231014
#VMA,"#\uc774\ub3c4",0.60488291231014
#SundayMotivation,#VMA,0.60488291231014
#OnBTS,#VMA,0.60488291231014
#BTSxUNGA,#VMA,0.60488291231014
#TheRoots,#VMA,0.60488291231014
#AGT,#VMA,0.60488291231014
#RankingPlaneta,#VMA,0.60488291231014
#BTSDynamite,#VMA,0.60488291231014
#DynamiteTo400M,#VMA,0.60488291231014
#VMA,#iHeartFestival2020,0.60488291231014
#Alfaconteo,#VMA,0.60488291231014
#VMA,"#\ud22c\ubaac",0.60488291231014
#RiseUpATL,#VMA,0.60488291231014
#TOMOON,#VMA,0.60488291231014
#BTS_MV_ArmyBomb,#VMA,0.60488291231014
#SundayBrunch,#VMA,0.60488291231014
#BTS_Dynamite,#VMA,0.60488291231014
#SundayNight,#VMA,0.60488291231014
#BTS,#VMA,0.60488291231014
#BTSTODAY,#VMA,0.60488291231014
#JimmyFallon,#VMA,0.60488291231014
#ARMY,#VMA,0.60488291231014
#Jimin,#VMA,0.60488291231014
#VMA,#bts,0.60488291231014
#BTS2ndNo1OnHot100,#VMA,0.60488291231014
#CoffeeandBTS,#VMA,0.60488291231014
#SundayThoughts,#VMA,0.60488291231014
#VMA,"#\ubc29\ud0c4\uc18c\ub144\ub2e8",0.60488291231014
#DynamiteBTS,#VMA,0.60488291231014
#VMA,"#\uc6d0\uc5b4\uc2a4",0.60488291231014
#TheTonightShow,#VMA,0.60488291231014
#DojaCat,#VMA,0.60488291231014
#AmericasGotTalent,#VMA,0.60488291231014
#UNGA,#VMA,0.60488291231014
