#Azerbaijan,1.0
#Armenia,0.98
#Turkey,0.96
#Artsakh,0.8200000000000001
#NagornoKarabakh,0.8
#StopAzerbaijaniAggression,0.8
#ArtsakhStrong,0.78
#NKpeace,0.74
#Karabakh,0.74
#StopAliyev,0.72
#StopErdogan,0.7000000000000001
#StopTurkey,0.68
#Armenian,0.66
#Azerbaijani,0.64
#StopAzerbaijaniAgression,0.62
#Stepanakert,0.6
#ArtsakhStong,0.58
#StopTurkishAggression,0.58
#ArmeniaStrong,0.58
#AzerbaijaniAggression,0.58
#\u0540\u0531\u0542\u0539\u0535\u053c\u0548\u0552\u0535\u0546\u0554,0.56
#Martakert,0.56
#NK,0.56
#Azerbaijaniaggression,0.56
#KarabakhNow,0.54
#WarInKarabakh,0.52
#ArtsakhIsArmenia,0.52
#Turkish,0.52
#Azerbaycan,0.48
#Baku,0.48
#civilian,0.44
#TurkeyIsATerrorState,0.42
#StopAzeriAgression,0.42
#NKPeace,0.4
#Vardenis,0.36
#KarabakhisAzerbaijan,0.32
#Syrian,0.32
#Russia,0.32
#Arstakh,0.3
#Syria,0.3
#BREAKING,0.28
#Libya,0.24
#Iran,0.24
#Pakistan,0.2
#dictatorship,0.2
#Israel,0.2
#LongLiveAzerbaijanArmy,0.18
#occupation,0.18
#democracy,0.14
#Debates2020,0.1
#enemy,0.06
