#coronavirus,1.0
#COVID19,0.8529411764705882
#Trump,0.6470588235294118
#TrumpKnew,0.6176470588235294
#COVID,0.5294117647058824
#TrumpVirus,0.47058823529411764
#BobWoodward,0.4411764705882353
#TrumpLiedPeopleDied,0.4411764705882353
#GOP,0.4411764705882353
#Covid_19,0.3529411764705882
#pandemic,0.3529411764705882
#China,0.3529411764705882
#TrumpLiesAmericansDie,0.29411764705882354
#TrumpTapes,0.29411764705882354
#USA,0.29411764705882354
#Covid19,0.29411764705882354
#mentalhealth,0.2647058823529412
#Corona,0.2647058823529412
#covid19,0.23529411764705882
#HumptyTrumpty,0.23529411764705882
#COVID__19,0.23529411764705882
#WoodwardTapes,0.23529411764705882
#India,0.23529411764705882
#UNMAGA,0.23529411764705882
#Peace,0.23529411764705882
#Iran,0.23529411764705882
#DopeyDon,0.20588235294117646
#trump,0.20588235294117646
#protests,0.20588235294117646
#covid,0.20588235294117646
#Pakistan,0.20588235294117646
#Turkey,0.20588235294117646
#BidenHarris,0.1764705882352941
#riots,0.14705882352941177
#Racism,0.11764705882352941
