#BTS1onHot100,#BTSonFallon,6
#BTS1onHot100,#BTS,128
#BTS1onHot100,#BTSWEEK,34
#BTS1onHot100,#BTS_Dynamite,457
#BTS1onHot100,#BTSARMY,200
#BTS1onHot100,#BTSWeekonFallon,2
#BTSonFallon_D1,#BTSonFallon,34
#BTSonFallon_D1,#BTS,21
#BTSonFallon_D1,#Arsenal,5
#BTSonFallon_D1,#BTSWEEK,236
#BTSonFallon_D1,#BTS_Dynamite,9
#BTSonFallon_D1,#JUNGKOOK,6
#BTSonFallon_D1,#BTSWeekonFallon,9
#BTSonFallon_D1,#BTSARMY,11
#BTSonFallon,#BTS,28
#BTSonFallon,#Arsenal,5
#BTSonFallon,#BTSWEEK,150
#BTSonFallon,#BTS_Dynamite,14
#BTSonFallon,#JUNGKOOK,10
#BTSonFallon,#BTSARMY,6
#BTS,#BTSWEEK,90
#BTS,#BTS_Dynamite,9954
#BTS,#JUNGKOOK,192
#BTS,#BTSARMY,6567
#BTS,#BTSWeekonFallon,4
#Chiefs,#BTSWEEK,24
#Chiefs,#Ravens,102
#Chiefs,#StanleyCup,24
#Chiefs,#Arsenal,64
#Arsenal,#BTSWEEK,43
#Arsenal,#JUNGKOOK,29
#Arsenal,#Ravens,70
#Arsenal,#StanleyCup,31
#BTSWEEK,#BTS_Dynamite,47
#BTSWEEK,#JUNGKOOK,65
#BTSWEEK,#Ravens,25
#BTSWEEK,#BTSARMY,42
#BTSWEEK,#StanleyCup,26
#BTSWEEK,#BTSWeekonFallon,119
#BTS_Dynamite,#BTSARMY,1929
#BTS_Dynamite,#BTSWeekonFallon,2
#JUNGKOOK,#BTSARMY,21
#JUNGKOOK,#BTSWeekonFallon,4
#Ravens,#StanleyCup,26
#BTSWeekonFallon,#BTSARMY,5
