#BTS,#FridayLivestream,0.58859191006778
#BTS,#DCvSRH,0.58859191006778
#BTS,#MyStrengthPakArmy,0.58859191006778
#BTS,"#\u0639\u0644\u064a_\u0627\u0644\u0646\u0639\u064a\u0645\u064a",0.58859191006778
#BTS,"#\u0645\u062d\u0645\u062f_\u0628\u0646_\u0631\u0627\u0634\u062f",0.58859191006778
#BTS,#turkey,0.58859191006778
#BTS,"#\u0635\u0628\u0627\u062d_\u0627\u0644\u062e\u064a\u0631\u1160",0.58859191006778
#BTS,"#\u0648\u0641\u0627\u0647_\u0627\u0645\u064a\u0631_\u0627\u0644\u0643\u0648\u064a\u062a",0.58859191006778
#BTS,#WDWFALLINMV,0.58859191006778
#BTS,"#\u0627\u0630\u0631\u0628\u064a\u062c\u0627\u0646",0.58859191006778
#BTS,#ImranKhanMustMeetQasim,0.53168480071826
#BTS,"#\u0639\u0645\u0631\u0627\u0646_\u062e\u0627\u0646_\u0642\u0627\u0633\u0645_\u06a9\u06d2_\u062e\u0648\u0627\u0628_\u0633\u0646\u0648",0.53168480071826
#BTS,#BeTheFocus,0.5142756036464
#BTS,#PresidentialDebate2020,0.5142756036464
#BTS,#Clown,0.5142756036464
#BTS,#TheStealer1stWin,0.48616735934589
#BTS,#BabriDemolitionCase,0.48616735934589
#BTS,#EXOLVoteBBMA,0.48616735934589
#Azerbaijan,#BTS,0.48616735934589
#BTS,"#\u30c6\u30ec\u6771\u97f3\u697d\u796d",0.48616735934589
#BTS,#Debate2020,0.4715704485867
#BTS,#Election2020,0.46731612377303
#BTS,#JISOO,0.46266993819005
#BTS,#debate,0.4559704454322
#BTS,#Debates2020,0.44782881409694
#BTS,#LISA,0.44732152766086
#BTS,#JENNIE,0.43883638827026
#BTS,#ProudBoys,0.43883638827026
#BTS,#Paris,0.43839779564759
#BTS,#Biden,0.4333701915711
#BTS,#shutupman,0.4237583541241
#BTS,#explosion,0.41211430415437
#BTS,#COVID19,0.41021424228205
#BTS,#Trump,0.40586178233803
