#BTSWEEK,1.0
#SUGA,0.4545454545454546
#BTS,0.4545454545454546
#BTSonFallon_D4,0.36363636363636365
#BTSMONTH,0.2727272727272727
#\uc288\uac00,0.2727272727272727
#TGIF2020,0.2727272727272727
#BTS2020,0.2727272727272727
#JUNGKOOK,0.2727272727272727
#Dynamite,0.18181818181818182
#BTSonFallon_D3,0.09090909090909091
#\u20dd\ub370\uc77c\ub9ac\uafb8,0.09090909090909091
