#Azerbaijan,1.0
#Turkey,0.8500000000000001
#Armenia,0.55
#Iran,0.55
#PKK,0.5
#Syria,0.4
#Iraq,0.4
#Baku,0.4
#Libya,0.4
#Azerbaycan,0.35000000000000003
#Karabakh,0.35000000000000003
#Russia,0.35000000000000003
#Tovuz,0.35000000000000003
#BREAKING,0.35000000000000003
#BreakingNews,0.30000000000000004
#\u0410\u0437\u0435\u0440\u0431\u0430\u0439\u0434\u0436\u0430\u043d,0.2
#Armenian,0.2
#Pakistan,0.15000000000000002
#turkey,0.1
#azerbaycan,0.1
#Georgia,0.05
