#Azerbaijan,1.0
#Turkey,0.5
#Armenia,0.35000000000000003
#Karabakh,0.30000000000000004
#Tovuz,0.25
#Armenian,0.25
#BREAKING,0.25
#Baku,0.2
#\u0410\u0437\u0435\u0440\u0431\u0430\u0439\u0434\u0436\u0430\u043d,0.2
#Pakistan,0.15000000000000002
#Syria,0.1
#KarabakhisAzerbaijan,0.1
#Georgia,0.05
#Azerbeycan,0.05
#BaghdadiBrigade,0.05
#stopaliyev,0.05
#Arstakh,0.05
#StrongArmenia,0.05
#AzerbabaijanIsNotAlone,0.05
#Karabakhconflict,0.05
#StopAzerbaijan,0.05
