@narendramodi,0.34574189665938176
#DalitLivesMatter,0.32266204638482815
#HathrasCase,0.31204191765311073
#HathrasTapes,0.307323453858396
#HathrasHorrorShocksIndia,0.2893627330074644
#HathrasHorror,0.2740241404810323
#Hathras,0.2523621680706846
#JusticeForManisha,0.2504882162511572
#ABPKoRokoMat,0.2458897768648035
#MeriBhiBetiHai,0.2296512524208633
#ShameOnYouDM_Hathras,0.2159386913642889
#YogiMustResign,0.20991463536888494
#YogiResignNOW,0.18222222038504998
#RepublicFor302,0.15106550277804853
#HungerStrike4SSR,0.12616619623055902
#fakegandhi,0.11836154288588951
#AatmaNirbharBharat,0.03826643393918574
#VaibhavSummit,0.03529534212117385
#NewIndia,0.03529534212117385
#NPS\u0928\u093f\u091c\u0940\u0915\u0930\u0923\u092d\u093e\u0930\u0924\u091b\u094b\u0921\u093c\u094b,0.03499456346541327
#NPS_QUIT_INDIA,0.03499456346541327
#Vaibhav,0.031778023354639896
#VAIBHAVSummit,0.031778023354639896
#CoronavirusOutbreak,0.031778023354639896
