#COVID19,0.37842914992988835
#coronavirus,0.28704859794105453
#TrumpKnew,0.24757614319717597
#TrumpLiedPeopleDied,0.23423096392327308
#ResignTrump,0.22314849341289889
#TrumpTapes,0.22314849341289889
#TrumpIsNotWell,0.22314849341289889
#ResignNowTrump,0.22314849341289889
#Resign,0.21478270368954305
#followme,0.2007269623105721
#unfollowTRUMP,0.2007269623105721
#GOPKnew,0.2007269623105721
#Coronavirus,0.17994602929863948
#Covid19,0.17646172109777192
#CoronavirusPandemic,0.17458517692217077
#COVID,0.1708493438706438
#Corona,0.1608392354136339
#COVID19India,0.1605294355431998
#India,0.15026942667405277
#Woodward,0.1418818195484531
#Covid_19,0.1353179587424771
#StaySafe,0.1344512763227719
#IndiaFightsCorona,0.12636919793338475
#France,0.10346937392832407
#CoronaVirus,0.08484066071152195
#KohLanta,0.056077350855836046
#JustIn,0.032063807628914275
#\u0e42\u0e04\u0e27\u0e34\u0e1419,0.008766867370899689
