#BTSWEEK,1.0
#BTS,0.6000000000000001
#BTS1onHot100,0.5
#BTSonFallon_D2,0.45
#BTSARMY,0.45
#Debates2020,0.4
#ARMY,0.4
#shutupman,0.4
#BTSxVariety,0.35000000000000003
#JIMIN,0.35000000000000003
#explosion,0.35000000000000003
#TheStealer1stWin,0.35000000000000003
#\ubc29\ud0c4\uc18c\ub144\ub2e8,0.35000000000000003
#JUNGKOOK,0.30000000000000004
#KCAMexico,0.30000000000000004
#Trump,0.30000000000000004
#BabriDemolitionCase,0.25
#OnBTS,0.25
#ImranKhanMustMeetQasim,0.25
#BTSonFallon,0.15000000000000002
#FridayLivestream,0.05
