#BTS,1.0
#BTS_Dynamite,0.55
#BTSARMY,0.55
#Artistoftheyear,0.45
#\ubc29\ud0c4\uc18c\ub144\ub2e8,0.4
#Suga,0.4
#Jin,0.4
#LouisTomlinson,0.4
#iHeartFestival2020,0.4
#Dynamite,0.4
#Jhope,0.35000000000000003
#BTSDynamite,0.25
#TheWeeknd,0.2
#AGT,0.15000000000000002
#ArianaGrande,0.15000000000000002
#Army,0.1
#Lab\u8a33,0.1
#ArtistoftheSummer2020,0.1
#BigHit,0.05
#GlobalDigitalArtistRank,0.05
#IU,0.05
