#Covid19,1.0
#CoronaVirus,0.6000000000000001
#Forecast,0.55
#SarsCov2,0.55
#USA,0.55
#Europe,0.4
#Africa,0.4
#EU,0.35000000000000003
#Asia,0.35000000000000003
#California,0.30000000000000004
#coronavirus,0.30000000000000004
#NorthAmerica,0.30000000000000004
#Trump,0.30000000000000004
#Coronavirus,0.25
#TrumpKnew,0.2
#SouthAmerica,0.2
#Corona,0.2
#flu,0.1
#MentalHealth,0.1
#Kerala,0.05
#BigBreaking,0.05
