#Dynamite,1.0
#BTS,0.5777777777777778
#BTS_Dynamite,0.5333333333333333
#BTSARMY,0.4
#DynamiteBTS,0.37777777777777777
#\ubc29\ud0c4\uc18c\ub144\ub2e8,0.33333333333333337
#ARMY,0.2888888888888889
#OnBTS,0.2888888888888889
#bts,0.26666666666666666
#BTS2ndNo1OnHot100,0.24444444444444446
#BTS_Universe_Story,0.22222222222222224
#iHeartFestival2020,0.2
#SundayThoughts,0.17777777777777778
#BTSDynamite,0.17777777777777778
#KCAMexico,0.17777777777777778
#\uc11c\ud638,0.15555555555555556
#Jimin,0.15555555555555556
#\uc6d0\uc5b4\uc2a4,0.15555555555555556
#DynamiteTo400M,0.15555555555555556
#Taehyung,0.15555555555555556
#SundayMotivation,0.15555555555555556
#TOMOON,0.15555555555555556
#\ud22c\ubaac,0.15555555555555556
#\uc774\ub3c4,0.15555555555555556
#RiseUpATL,0.13333333333333333
#BTS_MV_ArmyBomb,0.13333333333333333
#BTSTODAY,0.11111111111111112
#TheWeeknd,0.08888888888888889
#DojaCat,0.08888888888888889
#TheRoots,0.08888888888888889
#MeganTheeStallion,0.08888888888888889
#SundayBrunch,0.08888888888888889
#JimmyFallon,0.08888888888888889
#SundayNight,0.08888888888888889
#btsarmy,0.08888888888888889
#TheTonightShow,0.08888888888888889
#BTSxUNGA,0.08888888888888889
#UNGA,0.06666666666666667
#AGT,0.06666666666666667
#CoffeeandBTS,0.022222222222222223
#AmericasGotTalent,0.022222222222222223
#SmallzysSurgery,0.022222222222222223
#RankingPlaneta,0.022222222222222223
#VMA,0.022222222222222223
#LunchWithBTS,0.022222222222222223
#Alfaconteo,0.022222222222222223
