#Trump,#mentalhealth,0.25
#FillTheSeat,#Trump,0.22222222222222
#Ccot,#Trump,0.21052631578947
#CNNSOTU,#Trump,0.21052631578947
#SundayThoughts,#Trump,0.21052631578947
#Trump,#Walkaway,0.21052631578947
#RememberInNovember,#Trump,0.21052631578947
#HarrisAdministration,#Trump,0.21052631578947
#China,#Trump,0.18181818181818
#NEET,#Trump,0.1
#EdoDecides2020,#Trump,0.090909090909091
