#coronavirus,1.0
#Trump,0.8333333333333333
#MAGA,0.75
#Ccot,0.6666666666666666
#SaturdayThoughts,0.6666666666666666
#FoxAndFriends,0.6666666666666666
#CNNSOTU,0.6666666666666666
#Trump2020,0.6666666666666666
#KAG,0.6666666666666666
#covid19,0.25
#COVID19,0.25
#Brazil,0.16666666666666666
#death,0.08333333333333333
