#COVID19,1.0
$1902206046,0.04
$50843943,0.04
$908321280,0.04
$241563938,0.04
$1190009851285520385,0.04
$88869834,0.04
$952247125185720320,0.04
$1273360963950071815,0.04
$825099239730581507,0.04
$514937433,0.04
$19133683,0.04
$32917190,0.04
$2244469873,0.04
$93071854,0.04
$175042044,0.04
$60065029,0.04
$1263542845031485448,0.04
$911226731113172994,0.04
$1307621801044799488,0.04
$1078069559129718785,0.04
$1305093076705189888,0.04
$1266712307641573377,0.04
$740928906,0.04
$1083892419328962562,0.04
$593813785,0.04
