#Azerbaijan,0.26804387611634334
#Armenia,0.26804387611634334
#Artsakh,0.26500218817135923
#NagornoKarabakh,0.25842880524656986
#StopAzerbaijaniAggression,0.25842880524656986
#ArtsakhStrong,0.25842880524656986
#Turkey,0.24750297069610674
#StopAliyev,0.24717387535822397
#NKpeace,0.24223953221000377
#Karabakh,0.22076578247135734
#Azerbaijani,0.22022474539561387
#Azerbaijaniaggression,0.21565264142060303
#Vardenis,0.21054128976790473
#Stepanakert,0.20071571911710323
#KarabakhNow,0.18963747170306763
#Armenian,0.186361996204753
#Martakert,0.1834368489932494
#Syrian,0.1818150617427531
#Smerch,0.15668552157734553
#Syria,0.1088435159548514
#Pakistan,0.05036501976097977
