#coronavirus,3.5287205882353
#Trump,3.2503245798319
#TrumpKnew,2.6175924369748
#Coronavirus,2.4792352941176
#MAGA,2.3668098739496
#Biden,1.7484852941176
#COVID,1.7028245798319
#TrumpVirus,1.4161071428571
#China,1.3372352941176
#TrumpLiedPeopleDied,1.3305924369748
#Covid_19,1.2837352941176
#TrumpTapes,1.2515924369748
#mentalhealth,1.2495
#Election2020,1.2209138655462
#Texas,1.1405388655462
#TrumpIsARapist,1.1096785714286
#BLM,1.1005955882353
#Arizona,1.0415388655462
#Florida,0.98241386554622
#Georgia,0.92957457983193
#HeKnew,0.89223214285714
#Wisconsin,0.88017857142857
#VoteEarly,0.87241386554622
#NorthCarolina,0.86769957983193
#PenceKnew,0.84980357142857
#Corona,0.8425
#Military,0.82755987394958
#PretendPresident,0.80148214285714
#America,0.79486029411765
#SCOTUS,0.77753886554622
#POTUS,0.74791386554622
#BobWoodward,0.72611029411765
#suicide,0.723625
#EndGerryMandering,0.69091386554622
#Ohio,0.69091386554622
#JoeBiden,0.67936029411765
#MentalHealth,0.624625
#Colorado,0.53003886554622
#Iran,0.48761029411765
#pandemic,0.3145
#SocialDistancing,0.278125
#MondayMorning,0.21625
#ClimateChange,0.21261029411765
#Wien,0.195625
#Protests,0.129625
#DonTheCon,0.120625
#vaccine,0.096625
#hospitals,0.030625
#COVID19,0.01
